Date,Open,High,Low,Close,Adj Close,Volume
2017-05-22,1.640000,1.650000,1.630000,1.640000,1.558075,798400
2017-05-23,1.640000,1.650000,1.630000,1.640000,1.558075,1616300
2017-05-24,1.640000,1.640000,1.620000,1.640000,1.558075,2167700
2017-05-25,1.650000,1.670000,1.640000,1.660000,1.577076,1900400
2017-05-26,1.660000,1.680000,1.650000,1.670000,1.586577,1834500
2017-05-29,1.680000,1.690000,1.670000,1.670000,1.586577,1111500
2017-05-31,1.670000,1.700000,1.650000,1.700000,1.615078,2843000
2017-06-01,1.700000,1.700000,1.660000,1.660000,1.577076,1016500
2017-06-02,1.660000,1.690000,1.660000,1.670000,1.586577,1233500
2017-06-05,1.660000,1.660000,1.640000,1.650000,1.591399,719100
2017-06-06,1.650000,1.660000,1.640000,1.650000,1.591399,120400
2017-06-07,1.650000,1.650000,1.630000,1.630000,1.572110,640000
2017-06-08,1.630000,1.640000,1.620000,1.640000,1.581754,133300
2017-06-09,1.640000,1.650000,1.640000,1.650000,1.591399,335400
2017-06-13,1.650000,1.650000,1.640000,1.640000,1.581754,129300
2017-06-14,1.650000,1.650000,1.640000,1.650000,1.591399,71700
2017-06-15,1.640000,1.650000,1.640000,1.650000,1.591399,168400
2017-06-16,1.650000,1.660000,1.630000,1.660000,1.601044,394100
2017-06-19,1.640000,1.650000,1.630000,1.650000,1.591399,175000
2017-06-20,1.640000,1.650000,1.640000,1.640000,1.581754,115100
2017-06-21,1.640000,1.650000,1.630000,1.630000,1.572110,574200
2017-06-22,1.630000,1.650000,1.630000,1.640000,1.581754,332700
2017-06-23,1.640000,1.650000,1.640000,1.650000,1.591399,47700
2017-06-26,1.650000,1.650000,1.650000,1.650000,1.591399,0
2017-06-27,1.650000,1.650000,1.650000,1.650000,1.591399,0
2017-06-28,1.640000,1.650000,1.630000,1.630000,1.572110,245400
2017-06-29,1.640000,1.650000,1.630000,1.630000,1.572110,204900
2017-06-30,1.640000,1.650000,1.630000,1.630000,1.572110,126600
2017-07-03,1.650000,1.650000,1.630000,1.640000,1.581754,134300
2017-07-04,1.640000,1.650000,1.630000,1.640000,1.581754,164800
2017-07-05,1.640000,1.650000,1.640000,1.640000,1.581754,174300
2017-07-06,1.640000,1.650000,1.640000,1.640000,1.581754,167900
2017-07-07,1.640000,1.640000,1.630000,1.640000,1.581754,245700
2017-07-10,1.630000,1.640000,1.630000,1.630000,1.572110,284200
2017-07-11,1.630000,1.630000,1.620000,1.620000,1.562465,382100
2017-07-12,1.630000,1.630000,1.620000,1.620000,1.562465,218400
2017-07-13,1.630000,1.640000,1.620000,1.630000,1.572110,274200
2017-07-14,1.630000,1.650000,1.630000,1.640000,1.581754,388900
2017-07-17,1.630000,1.650000,1.630000,1.640000,1.581754,102700
2017-07-18,1.630000,1.640000,1.630000,1.640000,1.581754,69300
2017-07-19,1.640000,1.650000,1.640000,1.650000,1.591399,196200
2017-07-20,1.640000,1.650000,1.640000,1.640000,1.581754,166700
2017-07-21,1.650000,1.660000,1.640000,1.650000,1.591399,252100
2017-07-24,1.650000,1.650000,1.640000,1.650000,1.591399,74800
2017-07-25,1.640000,1.650000,1.640000,1.650000,1.591399,121500
2017-07-26,1.640000,1.650000,1.640000,1.650000,1.591399,310100
2017-07-27,1.660000,1.670000,1.650000,1.660000,1.601044,1069300
2017-07-28,1.650000,1.680000,1.650000,1.670000,1.610689,217900
2017-07-31,1.670000,1.680000,1.660000,1.660000,1.601044,261800
2017-08-01,1.660000,1.660000,1.640000,1.650000,1.591399,1326000
2017-08-02,1.650000,1.660000,1.640000,1.650000,1.591399,1453800
2017-08-03,1.650000,1.660000,1.640000,1.650000,1.591399,2358600
2017-08-04,1.660000,1.660000,1.650000,1.650000,1.591399,203700
2017-08-07,1.660000,1.670000,1.660000,1.660000,1.601044,437100
2017-08-08,1.660000,1.670000,1.650000,1.660000,1.601044,220500
2017-08-09,1.660000,1.660000,1.650000,1.660000,1.601044,2886700
2017-08-10,1.660000,1.660000,1.650000,1.660000,1.601044,484300
2017-08-11,1.660000,1.660000,1.650000,1.650000,1.591399,1508200
2017-08-14,1.650000,1.660000,1.650000,1.650000,1.591399,1384900
2017-08-15,1.650000,1.660000,1.650000,1.650000,1.591399,269200
2017-08-16,1.650000,1.660000,1.650000,1.650000,1.591399,59700
2017-08-17,1.660000,1.660000,1.650000,1.660000,1.601044,480100
2017-08-18,1.660000,1.670000,1.650000,1.670000,1.610689,342700
2017-08-21,1.670000,1.680000,1.660000,1.660000,1.601044,283700
2017-08-22,1.660000,1.660000,1.660000,1.660000,1.601044,374800
2017-08-23,1.660000,1.660000,1.650000,1.650000,1.591399,1131700
2017-08-24,1.650000,1.650000,1.630000,1.630000,1.572110,1417600
2017-08-25,1.630000,1.640000,1.620000,1.630000,1.572110,611600
2017-08-28,1.630000,1.630000,1.610000,1.620000,1.562465,875000
2017-08-29,null,null,null,null,null,null
2017-08-30,1.620000,1.640000,1.620000,1.640000,1.581754,177700
2017-08-31,1.640000,1.640000,1.640000,1.640000,1.581754,0
2017-09-01,1.640000,1.640000,1.640000,1.640000,1.581754,0
2017-09-04,null,null,null,null,null,null
2017-09-05,1.640000,1.650000,1.630000,1.640000,1.581754,467800
2017-09-06,1.620000,1.620000,1.610000,1.610000,1.581754,133500
2017-09-07,1.610000,1.640000,1.610000,1.630000,1.601403,3204600
2017-09-08,1.630000,1.630000,1.610000,1.610000,1.581754,2147800
2017-09-11,1.610000,1.620000,1.610000,1.610000,1.581754,126100
2017-09-12,1.620000,1.640000,1.610000,1.640000,1.611228,2257600
2017-09-13,1.630000,1.640000,1.610000,1.640000,1.611228,467300
2017-09-14,1.630000,1.630000,1.620000,1.630000,1.601403,434100
2017-09-15,1.630000,1.630000,1.620000,1.630000,1.601403,53800
2017-09-18,1.620000,1.620000,1.620000,1.620000,1.591579,35000
2017-09-19,1.620000,1.630000,1.610000,1.610000,1.581754,279800
2017-09-20,1.620000,1.620000,1.620000,1.620000,1.591579,151900
2017-09-21,1.620000,1.620000,1.610000,1.620000,1.591579,258300
